Variable Number,Variable Name,Description,Data Type,Value Range,Units
77,fBodyBodyGyroMag.meanFreq,Weighted average of the frequency domain gyroscope body acceleration magnitude,float,[-1 - 1],Hz
78,fBodyBodyGyroJerkMag.mean,Mean frequency domain gyroscope body acceleration jerk magnitude,float,[-1 - 1],Hz
79,fBodyBodyGyroJerkMag.std,Standard deviation of the frequency domain gyroscope body acceleration jerk magnitude,float,[-1 - 1],Hz
80,fBodyBodyGyroJerkMag.meanFreq,Weighted average of the frequency domain gyroscope body acceleration jerk magnitude,float,[-1 - 1],Hz
81,angletBodyAccMean.gravity,Mean angle between tBodyAccMean and gravityMean,float,[-1 - 1],Hz
82,angletBodyAccJerkMean.gravityMean,Mean angle between tBodyAccJerkMean and gravityMean,float,[-1 - 1],Hz
83,angletBodyGyroMean.gravityMean,Mean angle between tBodyGyroMean and gravityMean,float,[-1 - 1],Hz
84,angletBodyGyroJerkMean.gravityMean,Mean angle between tBodyGyroJerkMean and gravityMean,float,[-1 - 1],Hz
85,angleX.gravityMean,Mean gravityMean angle in the X direction,float,[-1 - 1],Hz
86,angleY.gravityMean,Mean gravityMean angle in the Y direction,float,[-1 - 1],Hz
87,angleZ.gravityMean,Mean gravityMean angle in the Z direction,float,[-1 - 1],Hz
88,activity,Activity label,factor,,NA
